fetched_at_utc,location,latitude,longitude,current_temperature_c,apparent_temperature_c,relative_humidity_pct,precipitation_mm,wind_speed_kmh,weather_code,today_temp_max_c,today_temp_min_c,today_precipitation_sum_mm
2026-08-10T02:19:59+00:00,"Bukit Mertajam, Penang, MY",5.3667,100.4667,28.9,33.2,74,0.1,11.3,51,31.7,26.6,1.2
2026-08-11T02:10:19+00:00,"Bukit Mertajam, Penang, MY",5.3667,100.4667,30.3,36.0,67,0.0,0.2,0,33.0,25.5,3.3
2026-08-12T02:28:04+00:00,"Bukit Mertajam, Penang, MY",5.3667,100.4667,30.3,35.7,66,0.2,1.4,53,33.9,26.2,1.7
2026-08-13T02:29:33+00:00,"Bukit Mertajam, Penang, MY",5.3667,100.4667,30.2,35.5,71,0.0,7.3,3,32.2,26.3,2.6
2026-08-14T02:27:44+00:00,"Bukit Mertajam, Penang, MY",5.3667,100.4667,25.8,30.6,89,0.1,7.8,51,30.3,25.2,7.1
2026-08-15T01:38:45+00:00,"Bukit Mertajam, Penang, MY",5.3667,100.4667,27.6,32.7,74,0.0,1.0,3,31.0,24.8,0.0
2026-08-16T01:46:15+00:00,"Bukit Mertajam, Penang, MY",5.3667,100.4667,28.5,33.4,77,0.0,7.8,3,30.7,25.2,1.6
2026-08-17T01:44:07+00:00,"Bukit Mertajam, Penang, MY",5.3667,100.4667,29.2,34.6,71,0.0,2.1,3,32.5,25.3,0.7
2026-08-18T01:38:44+00:00,"Bukit Mertajam, Penang, MY",5.3667,100.4667,29.2,35.3,78,0.0,3.5,2,29.7,26.3,3.8
2026-08-19T01:45:49+00:00,"Bukit Mertajam, Penang, MY",5.3667,100.4667,26.9,31.6,83,0.3,7.9,55,31.4,25.9,4.4
2026-08-20T01:39:33+00:00,"Bukit Mertajam, Penang, MY",5.3667,100.4667,29.9,34.5,65,0.0,4.3,3,32.9,26.5,0.0
2026-08-21T01:44:34+00:00,"Bukit Mertajam, Penang, MY",5.3667,100.4667,30.6,35.3,62,0.0,2.6,3,33.2,26.0,0.0
2026-08-22T01:38:22+00:00,"Bukit Mertajam, Penang, MY",5.3667,100.4667,29.1,34.3,73,0.0,4.4,1,33.4,25.6,0.6
2026-08-23T01:48:10+00:00,"Bukit Mertajam, Penang, MY",5.3667,100.4667,31.1,36.3,62,0.0,1.8,1,34.2,26.5,0.0
2026-08-24T01:45:07+00:00,"Bukit Mertajam, Penang, MY",5.3667,100.4667,31.5,33.9,54,0.0,14.1,3,34.1,27.1,0.3
2026-08-25T01:39:58+00:00,"Bukit Mertajam, Penang, MY",5.3667,100.4667,27.1,31.9,79,0.0,5.0,2,31.1,25.0,4.2
2026-08-26T01:45:38+00:00,"Bukit Mertajam, Penang, MY",5.3667,100.4667,29.2,34.2,68,0.0,2.6,1,32.7,25.6,3.3
2026-08-27T08:47:00+00:00,"Bukit Mertajam, Penang, MY",5.3667,100.4667,31.3,34.0,60,0.2,17.3,53,32.2,26.3,3.6
2026-08-28T10:59:50+00:00,"Bukit Mertajam, Penang, MY",5.3667,100.4667,31.9,35.0,55,0.0,11.8,3,34.4,26.1,2.0
2026-08-29T06:45:36+00:00,"Bukit Mertajam, Penang, MY",5.3667,100.4667,30.3,34.3,69,0.1,14.3,51,32.7,27.1,2.1
2026-08-30T04:58:16+00:00,"Bukit Mertajam, Penang, MY",5.3667,100.4667,31.1,36.7,65,0.0,12.3,2,31.4,25.6,0.5
2026-08-31T05:03:51+00:00,"Bukit Mertajam, Penang, MY",5.3667,100.4667,31.7,36.8,61,0.0,14.3,3,31.9,26.9,0.9
2026-09-01T04:41:21+00:00,"Bukit Mertajam, Penang, MY",5.3667,100.4667,33.6,38.8,51,0.0,9.6,3,33.8,27.3,0.7
2026-09-02T04:03:19+00:00,"Bukit Mertajam, Penang, MY",5.3667,100.4667,30.6,35.8,64,0.2,10.5,53,32.3,25.5,3.9
2026-09-03T04:01:43+00:00,"Bukit Mertajam, Penang, MY",5.3667,100.4667,30.6,36.8,65,0.1,3.2,51,31.4,25.0,7.5
2026-09-04T04:04:51+00:00,"Bukit Mertajam, Penang, MY",5.3667,100.4667,29.5,34.3,67,0.0,3.0,3,31.7,25.2,1.8
2026-09-05T04:00:56+00:00,"Bukit Mertajam, Penang, MY",5.3667,100.4667,32.2,38.2,59,0.1,7.3,51,33.2,26.3,0.9
2026-09-06T04:08:40+00:00,"Bukit Mertajam, Penang, MY",5.3667,100.4667,30.9,36.9,62,0.0,6.0,2,32.1,25.8,2.2
2026-09-07T04:07:45+00:00,"Bukit Mertajam, Penang, MY",5.3667,100.4667,30.1,34.7,64,0.1,9.4,51,31.3,25.1,3.2
2026-09-08T04:09:03+00:00,"Bukit Mertajam, Penang, MY",5.3667,100.4667,31.3,36.7,61,0.1,8.2,51,32.8,26.7,2.9
2026-09-09T04:15:58+00:00,"Bukit Mertajam, Penang, MY",5.3667,100.4667,33.1,39.1,51,0.1,6.0,51,33.8,26.7,6.1
2026-09-10T04:13:08+00:00,"Bukit Mertajam, Penang, MY",5.3667,100.4667,28.5,32.9,74,0.5,13.4,80,30.8,26.4,4.1
